JUGADOR,PUNTOS
GOKU,200
BATMAN,201
FLASH,98
NEGRO,102
NEGRO,6
NEGRO,5
NEGRO,0
NEGRO,12
NEGRO,16
NEGRO,1
CHARO,1
NEGRO,56
CHARO,0
NEGRO,0
NEGRO,0
negro,17

negro,9

negro,19

negro,14

Pepe,5

Carlos,7

Rodrigo,0

NEGRO,0
CHARO,0
NEGRO,98
NEGRO,98
NEGRO,0
NEGRO,98
NEGRO,98
NEGRO,98
NEGRO,98
NEGRO,0
NEGRO,98
PEPITO,0
NEGRO,0
NEGRO,0
NEGRO,0
NEGRO,0
NEGRO,0
NEGRO,0
NEGRO,0
NEGRO,106
NEGRO,0
NEGRO,98
NEGRO,98
NEGRO,0
pepe,0
pepe,0
NEGRO,0
NEGRO,0
NEGRO,0
NEGRO,98
NEGRO,0
NEGRO,98
NEGRO,0
NEGRO,0
NEGRO,0
NEGRO,0
NEGRO,0
NEGRO,98
NEGRO,98
NEGRO,0
NEGRO,0
NEGRO,0
NEGRO,0
NEGRO,0
NEGRO,0
pepe,0
pepe,0
pepe,0
NEGRO,0
NEGRO,0
NEGRO,98
NEGRO,0
NEGRO,0
NEGRO,98
NEGRO,98
NEGRO,0
NEGRO,0
NEGRO,0
NEGRO,0
NEGRO,0
NEGRO,126
NEGRO,0
NEGRO,0
NEGRO,0
NEGRO,98
NEGRO,598
NEGRO,0
NEGRO,0
NEGRO,1038
charo,0
YUYÃ“JHG,0
NEGRO,0
NEGRO,38
NEGRO,0
NEGRO,660
